Nazwisko	Imie	Osiagniecia	Zachowanie	JP	Mat	Biol	Geog	GHP	GHH	GMM	GMP	GJP	osiagniecia	zachowanie	jp	mat	biol	geo	ghp	ghh	gmm	gmp	gjp	srednia	ile pkt
Wendt	Amelia	3	5	5	2	5	2	25	46	91	75	91	3	0	8	0	8	0	2,5	4,6	9,1	7,5	9,1	3,5	51,8
Obarowska	Kornelia	7	6	4	5	4	6	52	32	57	58	67	7	2	6	8	6	10	5,2	3,2	5,7	5,8	6,7	4,75	65,6
Baranowska	Zuzanna	7	6	4	6	6	5	85	37	73	73	19	7	2	6	10	10	8	8,5	3,7	7,3	7,3	1,9	5,25	71,7
Bonislawska	Monika	8	3	3	4	3	5	96	17	94	90	1	8	0	4	6	4	8	9,6	1,7	9,4	9	0,1	3,75	59,8
Jo?iak	Mikolaj	2	3	6	4	5	6	68	10	64	85	26	2	0	10	6	8	10	6,8	1	6,4	8,5	2,6	5,25	61,3
Wejner	Amelia	7	2	2	6	5	3	45	81	28	11	25	7	0	0	10	8	4	4,5	8,1	2,8	1,1	2,5	4	48
Wojcicka	Alicja	3	2	3	2	5	4	85	28	36	9	95	3	0	4	0	8	6	8,5	2,8	3,6	0,9	9,5	3,5	46,3
Koprowski	Maurycy	4	3	6	4	4	3	48	71	40	67	83	4	0	10	6	6	4	4,8	7,1	4	6,7	8,3	4,25	60,9
Cicherski	Szymon	0	5	6	4	4	5	70	42	47	24	40	0	0	10	6	6	8	7	4,2	4,7	2,4	4	4,75	52,3
Olitkowska	Klaudia	8	4	5	4	4	5	83	18	29	17	9	8	0	8	6	6	8	8,3	1,8	2,9	1,7	0,9	4,5	51,6
Majewski	Maciej	1	6	4	6	3	2	48	65	86	18	88	1	2	6	10	4	0	4,8	6,5	8,6	1,8	8,8	3,75	53,5
Podbereski	Jakub	4	5	3	5	5	2	70	20	38	18	65	4	0	4	8	8	0	7	2	3,8	1,8	6,5	3,75	45,1
W?cik	Alan	2	2	6	5	2	6	74	61	24	72	41	2	0	10	8	0	10	7,4	6,1	2,4	7,2	4,1	4,75	57,2
Nowak	Latika	2	2	4	4	4	3	18	50	99	35	8	2	0	6	6	6	4	1,8	5	9,9	3,5	0,8	3,75	45
Piotrowski	Jacek	6	6	4	3	6	2	68	82	74	4	9	6	2	6	4	10	0	6,8	8,2	7,4	0,4	0,9	3,75	51,7
Bialek	Zuzanna	3	4	2	2	6	4	48	56	97	34	50	3	0	0	0	10	6	4,8	5,6	9,7	3,4	5	3,5	47,5
Galla	Paulina	2	5	5	5	3	2	69	49	67	20	3	2	0	8	8	4	0	6,9	4,9	6,7	2	0,3	3,75	42,8
Glasmann	Paula	5	2	4	5	6	4	68	37	91	56	46	5	0	6	8	10	6	6,8	3,7	9,1	5,6	4,6	4,75	64,8
Aniol	Wojciech	7	2	2	3	6	5	11	6	24	72	17	7	0	0	4	10	8	1,1	0,6	2,4	7,2	1,7	4	42
Cuper	Olga	2	2	6	2	2	4	13	7	71	64	96	2	0	10	0	0	6	1,3	0,7	7,1	6,4	9,6	3,5	43,1
Becla	Aleksander	8	4	5	5	3	4	92	71	26	42	46	8	0	8	8	4	6	9,2	7,1	2,6	4,2	4,6	4,25	61,7
Grodzki	Oskar	5	6	2	6	6	5	79	19	23	18	13	5	2	0	10	10	8	7,9	1,9	2,3	1,8	1,3	4,75	50,2
Ulwan	Anna	3	2	5	3	5	2	47	7	72	74	85	3	0	8	4	8	0	4,7	0,7	7,2	7,4	8,5	3,75	51,5
Goszczynski	Patryk	1	6	2	5	6	3	74	64	17	76	23	1	2	0	8	10	4	7,4	6,4	1,7	7,6	2,3	4	50,4
Bigos	Zosia	3	4	2	4	5	6	47	80	34	4	81	3	0	0	6	8	10	4,7	8	3,4	0,4	8,1	4,25	51,6
Waclawski	Bartosz	3	4	3	2	4	4	14	35	43	57	34	3	0	4	0	6	6	1,4	3,5	4,3	5,7	3,4	3,25	37,3
Wludyka	Alexander	7	3	3	2	6	5	84	70	57	62	1	7	0	4	0	10	8	8,4	7	5,7	6,2	0,1	4	56,4
Wizniewski	Andrzej	1	5	3	5	2	4	42	82	89	2	41	1	0	4	8	0	6	4,2	8,2	8,9	0,2	4,1	3,5	44,6
Florek	Sandra	0	6	6	4	4	3	25	40	61	59	88	0	2	10	6	6	4	2,5	4	6,1	5,9	8,8	4,25	55,3
Korbus	Marta	2	4	3	3	3	2	76	21	59	79	33	2	0	4	4	4	0	7,6	2,1	5,9	7,9	3,3	2,75	40,8
Piechalski	Jan	3	6	5	2	5	4	18	33	57	34	74	3	2	8	0	8	6	1,8	3,3	5,7	3,4	7,4	4	48,6
Potocki	Mariusz	8	4	3	2	6	5	67	34	96	61	40	8	0	4	0	10	8	6,7	3,4	9,6	6,1	4	4	59,8
Korda	Mateusz	5	4	4	6	4	5	39	12	100	47	42	5	0	6	10	6	8	3,9	1,2	10	4,7	4,2	4,75	59
Depczynski	Stanislaw	0	3	2	4	4	2	88	79	26	8	70	0	0	0	6	6	0	8,8	7,9	2,6	0,8	7	3	39,1
Erbel	Urszula	1	2	2	6	6	3	83	76	52	43	64	1	0	0	10	10	4	8,3	7,6	5,2	4,3	6,4	4,25	56,8
Kutnik	Marcin	1	6	6	3	6	4	54	50	36	23	9	1	2	10	4	10	6	5,4	5	3,6	2,3	0,9	4,75	50,2
Dabrowski	Szymon	0	3	4	6	3	5	49	31	34	22	76	0	0	6	10	4	8	4,9	3,1	3,4	2,2	7,6	4,5	49,2
Ciupa	Wiktoria	1	3	2	2	2	3	71	20	46	6	22	1	0	0	0	0	4	7,1	2	4,6	0,6	2,2	2,25	21,5
Michalak	Krzysztof	8	5	6	4	5	4	5	48	2	12	15	8	0	10	6	8	6	0,5	4,8	0,2	1,2	1,5	4,75	46,2
Mieczkowski	Krystian	7	4	3	4	6	6	27	12	19	10	66	7	0	4	6	10	10	2,7	1,2	1,9	1	6,6	4,75	50,4
Jaglowska	Natalia	6	2	5	3	5	3	95	12	76	52	36	6	0	8	4	8	4	9,5	1,2	7,6	5,2	3,6	4	57,1
Czechowska	Wiktoria	4	6	4	5	5	2	48	9	45	10	3	4	2	6	8	8	0	4,8	0,9	4,5	1	0,3	4	39,5
Domanski	Sebastian	2	5	2	4	4	4	46	58	72	83	48	2	0	0	6	6	6	4,6	5,8	7,2	8,3	4,8	3,5	50,7
Kotowska	Marianna	7	3	3	3	3	6	72	40	54	44	78	7	0	4	4	4	10	7,2	4	5,4	4,4	7,8	3,75	57,8
Nieradko	Kajetan	4	4	5	2	3	5	80	63	36	13	38	4	0	8	0	4	8	8	6,3	3,6	1,3	3,8	3,75	47
Mendrek	Krzysztof	7	5	3	2	5	3	89	97	66	5	68	7	0	4	0	8	4	8,9	9,7	6,6	0,5	6,8	3,25	55,5
Trawicki	Borys	8	3	5	3	6	6	98	27	75	69	29	8	0	8	4	10	10	9,8	2,7	7,5	6,9	2,9	5	69,8
Sobon	Filip	2	2	3	4	2	6	43	45	16	56	7	2	0	4	6	0	10	4,3	4,5	1,6	5,6	0,7	3,75	38,7
Cejnog	Kamila	7	6	6	2	3	6	19	5	76	74	16	7	2	10	0	4	10	1,9	0,5	7,6	7,4	1,6	4,25	52
Jazkowiec	Nadia	2	3	2	5	5	4	60	48	73	93	51	2	0	0	8	8	6	6	4,8	7,3	9,3	5,1	4	56,5
Jarosiewicz	Milosz	4	6	3	6	5	6	82	21	64	61	93	4	2	4	10	8	10	8,2	2,1	6,4	6,1	9,3	5	70,1
Kmiecik	Martyna	2	4	2	4	3	4	65	50	15	67	88	2	0	0	6	4	6	6,5	5	1,5	6,7	8,8	3,25	46,5
Kilanowska	Michalina	8	3	6	3	6	3	85	68	59	5	29	8	0	10	4	10	4	8,5	6,8	5,9	0,5	2,9	4,5	60,6
Markowiak	Leon	7	6	2	3	2	2	91	65	12	78	87	7	2	0	4	0	0	9,1	6,5	1,2	7,8	8,7	2,25	46,3
Sikora	Hubert	2	6	6	6	2	3	65	28	80	55	60	2	2	10	10	0	4	6,5	2,8	8	5,5	6	4,25	56,8
Szczuplinska	Emilia	4	4	2	3	3	5	14	4	93	36	26	4	0	0	4	4	8	1,4	0,4	9,3	3,6	2,6	3,25	37,3
Szubarczyk	Dawid	0	6	2	6	5	6	15	42	90	14	88	0	2	0	10	8	10	1,5	4,2	9	1,4	8,8	4,75	54,9
Krefta	Mateusz	8	5	4	4	4	3	39	45	68	26	30	8	0	6	6	6	4	3,9	4,5	6,8	2,6	3	3,75	50,8
Malinowski	Lukasz	3	6	3	4	3	5	86	46	9	68	39	3	2	4	6	4	8	8,6	4,6	0,9	6,8	3,9	3,75	51,8
Czerlonek	Weronika	7	4	6	6	6	2	17	16	12	54	91	7	0	10	10	10	0	1,7	1,6	1,2	5,4	9,1	5	56
Szostakowska	Dominika	4	2	4	3	5	2	68	87	48	54	39	4	0	6	4	8	0	6,8	8,7	4,8	5,4	3,9	3,5	51,6
Kaleta	Mikolaj	8	3	5	2	5	3	99	90	59	78	93	8	0	8	0	8	4	9,9	9	5,9	7,8	9,3	3,75	69,9
Kocur	Martyna	1	6	6	5	3	6	58	93	93	82	17	1	2	10	8	4	10	5,8	9,3	9,3	8,2	1,7	5	69,3
Wit	Andrzej	6	4	5	3	2	2	38	13	62	22	14	6	0	8	4	0	0	3,8	1,3	6,2	2,2	1,4	3	32,9
Rybienik	Igor	6	6	3	6	6	2	1	34	76	39	56	6	2	4	10	10	0	0,1	3,4	7,6	3,9	5,6	4,25	52,6
Puzlecka	Julia	3	5	3	6	2	4	91	99	61	2	52	3	0	4	10	0	6	9,1	9,9	6,1	0,2	5,2	3,75	53,5
Juralewicz	Mikolaj	3	4	6	2	2	4	2	85	51	87	27	3	0	10	0	0	6	0,2	8,5	5,1	8,7	2,7	3,5	44,2
Piwowarek	Jan	6	3	3	6	6	3	78	57	69	18	87	6	0	4	10	10	4	7,8	5,7	6,9	1,8	8,7	4,5	64,9
Jurczak	Mikolaj	3	5	4	5	6	4	64	35	42	54	15	3	0	6	8	10	6	6,4	3,5	4,2	5,4	1,5	4,75	54
Ogrodowczyk	Konstancja	3	2	2	4	3	5	40	28	88	11	9	3	0	0	6	4	8	4	2,8	8,8	1,1	0,9	3,5	38,6
Strojek	Filip	2	5	3	4	6	3	8	46	55	39	21	2	0	4	6	10	4	0,8	4,6	5,5	3,9	2,1	4	42,9
Zaremba	Aleksandra	2	5	3	6	3	3	86	36	76	91	19	2	0	4	10	4	4	8,6	3,6	7,6	9,1	1,9	3,75	54,8
Gorska	Oliwia	0	4	3	5	2	6	86	76	17	68	39	0	0	4	8	0	10	8,6	7,6	1,7	6,8	3,9	4	50,6
Garus	Paulina	8	4	5	5	4	5	7	8	77	77	21	8	0	8	8	6	8	0,7	0,8	7,7	7,7	2,1	4,75	57
Siemistkowska	Jagoda	8	2	6	4	3	2	77	98	4	85	63	8	0	10	6	4	0	7,7	9,8	0,4	8,5	6,3	3,75	60,7
Ulewicz	Bartosz	6	4	6	3	3	3	9	15	6	65	75	6	0	10	4	4	4	0,9	1,5	0,6	6,5	7,5	3,75	45
Tokarska	Antonia	0	5	3	3	3	5	27	30	23	16	21	0	0	4	4	4	8	2,7	3	2,3	1,6	2,1	3,5	31,7
Krupa	Mateusz	5	2	5	5	6	5	17	23	33	16	62	5	0	8	8	10	8	1,7	2,3	3,3	1,6	6,2	5,25	54,1
Swirk	Antonina	2	5	3	6	6	2	87	23	15	44	30	2	0	4	10	10	0	8,7	2,3	1,5	4,4	3	4,25	45,9
Kizielewicz	Michal	2	6	3	3	3	6	83	27	18	41	94	2	2	4	4	4	10	8,3	2,7	1,8	4,1	9,4	3,75	52,3
Kecler	Milena	5	5	5	2	4	5	35	16	94	87	38	5	0	8	0	6	8	3,5	1,6	9,4	8,7	3,8	4	54
Zochowska	Adriana	0	5	3	3	2	2	92	79	94	42	95	0	0	4	4	0	0	9,2	7,9	9,4	4,2	9,5	2,5	48,2
Kozlowska	Malgorzata	5	3	5	3	6	6	82	7	24	80	33	5	0	8	4	10	10	8,2	0,7	2,4	8	3,3	5	59,6
Lewandowska	Maja	6	4	6	6	4	4	94	44	96	9	97	6	0	10	10	6	6	9,4	4,4	9,6	0,9	9,7	5	72
G?likowski	Patrick	3	5	3	6	4	2	32	50	94	52	100	3	0	4	10	6	0	3,2	5	9,4	5,2	10	3,75	55,8
Kowalska	Maria	3	2	3	5	3	6	84	53	73	7	3	3	0	4	8	4	10	8,4	5,3	7,3	0,7	0,3	4,25	51
Katende	Milena	2	2	5	5	5	4	88	37	50	19	28	2	0	8	8	8	6	8,8	3,7	5	1,9	2,8	4,75	54,2
Tokarz	Anna	7	2	3	5	5	2	26	30	96	59	28	7	0	4	8	8	0	2,6	3	9,6	5,9	2,8	3,75	50,9
Radosz	Julia	0	5	6	2	2	3	50	5	14	44	45	0	0	10	0	0	4	5	0,5	1,4	4,4	4,5	3,25	29,8
Komorowska	Michal	5	5	5	4	6	5	73	49	54	67	5	5	0	8	6	10	8	7,3	4,9	5,4	6,7	0,5	5	61,8
Zakrzewska	Olga	2	3	4	2	5	6	100	13	93	32	23	2	0	6	0	8	10	10	1,3	9,3	3,2	2,3	4,25	52,1
Zakrzewska	Ewa	6	4	4	3	2	5	52	46	54	22	42	6	0	6	4	0	8	5,2	4,6	5,4	2,2	4,2	3,5	45,6
Rohde	Jakub	2	5	6	4	6	3	88	14	98	46	66	2	0	10	6	10	4	8,8	1,4	9,8	4,6	6,6	4,75	63,2
Smoliniec	Franciszek	3	2	4	2	6	6	85	91	9	9	53	3	0	6	0	10	10	8,5	9,1	0,9	0,9	5,3	4,5	53,7
Paluchowski	Julian	3	4	4	4	3	3	93	12	63	3	60	3	0	6	6	4	4	9,3	1,2	6,3	0,3	6	3,5	46,1
Bialaszewski	Wiktor	0	6	3	5	6	3	67	66	56	41	26	0	2	4	8	10	4	6,7	6,6	5,6	4,1	2,6	4,25	53,6
Bielawski	Tymoteusz	4	5	6	5	2	4	65	75	95	100	89	4	0	10	8	0	6	6,5	7,5	9,5	10	8,9	4,25	70,4
Pawlun	Karolina	1	3	5	2	2	5	45	30	64	95	83	1	0	8	0	0	8	4,5	3	6,4	9,5	8,3	3,5	48,7
Zielinski	Mariusz	4	6	4	2	3	5	40	80	8	99	20	4	2	6	0	4	8	4	8	0,8	9,9	2	3,5	48,7
Majchrzak	Lucja	6	3	6	2	4	6	47	54	40	83	16	6	0	10	0	6	10	4,7	5,4	4	8,3	1,6	4,5	56
Koczakowska	Marta	3	2	4	5	4	6	99	60	96	89	29	3	0	6	8	6	10	9,9	6	9,6	8,9	2,9	4,75	70,3
Brzozowski	Wojciech	8	2	2	4	3	5	83	29	91	26	21	8	0	0	6	4	8	8,3	2,9	9,1	2,6	2,1	3,5	51
Jakubczyk	Natalia	0	4	3	6	5	5	5	26	6	82	94	0	0	4	10	8	8	0,5	2,6	0,6	8,2	9,4	4,75	51,3
Krol	Malgorzata	5	3	3	3	4	3	97	83	27	61	34	5	0	4	4	6	4	9,7	8,3	2,7	6,1	3,4	3,25	53,2
Bialy	Viktor	8	5	4	6	6	5	37	52	6	34	84	8	0	6	10	10	8	3,7	5,2	0,6	3,4	8,4	5,25	63,3
Drozd	Radoslaw	5	2	5	3	5	5	30	42	80	74	75	5	0	8	4	8	8	3	4,2	8	7,4	7,5	4,5	63,1
Srokowska	Helena	3	2	5	5	2	2	81	88	99	75	60	3	0	8	8	0	0	8,1	8,8	9,9	7,5	6	3,5	59,3
Srokowska	Iga	3	6	2	5	6	4	36	63	40	82	89	3	2	0	8	10	6	3,6	6,3	4	8,2	8,9	4,25	60
Cejman	Szymon	0	6	3	2	3	5	27	62	56	66	92	0	2	4	0	4	8	2,7	6,2	5,6	6,6	9,2	3,25	48,3
Stambuldzys	Helena	8	5	5	5	4	6	65	57	24	97	47	8	0	8	8	6	10	6,5	5,7	2,4	9,7	4,7	5	69
Adryan	Xawery	5	2	6	4	5	6	35	77	82	42	17	5	0	10	6	8	10	3,5	7,7	8,2	4,2	1,7	5,25	64,3
Kwidzinski	Marceli	3	5	5	2	3	6	47	52	43	47	3	3	0	8	0	4	10	4,7	5,2	4,3	4,7	0,3	4	44,2
Ostrowska	Kelly	5	2	6	3	3	5	69	15	39	69	39	5	0	10	4	4	8	6,9	1,5	3,9	6,9	3,9	4,25	54,1
Karmasz	Michal	0	3	6	4	3	6	35	41	92	96	19	0	0	10	6	4	10	3,5	4,1	9,2	9,6	1,9	4,75	58,3
Smiecinska	Antonina	1	6	6	5	3	6	8	17	37	10	56	1	2	10	8	4	10	0,8	1,7	3,7	1	5,6	5	47,8
Czecholinska	Wiktoria	2	5	6	2	5	3	44	32	4	95	55	2	0	10	0	8	4	4,4	3,2	0,4	9,5	5,5	4	47
PodraZka	Jakub	0	6	4	2	4	5	72	100	96	5	41	0	2	6	0	6	8	7,2	10	9,6	0,5	4,1	3,75	53,4
Kmita	Martyna	2	6	6	4	6	2	68	15	53	47	8	2	2	10	6	10	0	6,8	1,5	5,3	4,7	0,8	4,5	49,1
Gachewicz	Pola	0	3	5	2	3	6	33	86	90	78	15	0	0	8	0	4	10	3,3	8,6	9	7,8	1,5	4	52,2
Pilewski	Jan	3	2	5	3	3	4	95	25	48	27	23	3	0	8	4	4	6	9,5	2,5	4,8	2,7	2,3	3,75	46,8
Lewandowska	Ewa	0	4	5	6	3	5	66	31	5	9	38	0	0	8	10	4	8	6,6	3,1	0,5	0,9	3,8	4,75	44,9
Paliniewicz	Katarzyna	0	4	4	5	4	3	82	31	77	49	81	0	0	6	8	6	4	8,2	3,1	7,7	4,9	8,1	4	56
Lubinska	Magdalena	5	2	3	2	4	3	53	95	23	16	90	5	0	4	0	6	4	5,3	9,5	2,3	1,6	9	3	46,7
Konstanski	Michal	7	2	4	3	4	2	58	56	47	61	69	7	0	6	4	6	0	5,8	5,6	4,7	6,1	6,9	3,25	52,1
Hrywniak	Olaf	6	6	4	3	2	3	88	10	92	82	2	6	2	6	4	0	4	8,8	1	9,2	8,2	0,2	3	49,4
Warda	Bartlomiej	6	4	2	3	5	4	50	3	27	70	25	6	0	0	4	8	6	5	0,3	2,7	7	2,5	3,5	41,5
D?browski	Stefan	8	2	5	3	2	3	93	98	43	97	90	8	0	8	4	0	4	9,3	9,8	4,3	9,7	9	3,25	66,1
Mrozek	Lena	6	4	4	5	2	4	41	62	60	18	83	6	0	6	8	0	6	4,1	6,2	6	1,8	8,3	3,75	52,4
Drapinska	Weronika	3	2	3	4	2	4	90	26	50	74	53	3	0	4	6	0	6	9	2,6	5	7,4	5,3	3,25	48,3
Dawidowska	Weronika	4	4	3	2	3	2	31	59	7	38	24	4	0	4	0	4	0	3,1	5,9	0,7	3,8	2,4	2,5	27,9
Lesiak	Maksymilian	6	6	6	2	3	2	56	34	52	30	94	6	2	10	0	4	0	5,6	3,4	5,2	3	9,4	3,25	48,6
Szarmach	Ewa	0	3	6	4	6	3	13	42	23	14	73	0	0	10	6	10	4	1,3	4,2	2,3	1,4	7,3	4,75	46,5
Burghard	Zofia	2	3	6	6	4	4	61	3	88	72	84	2	0	10	10	6	6	6,1	0,3	8,8	7,2	8,4	5	64,8
Michalska	Lena	6	4	4	2	4	2	30	28	30	66	98	6	0	6	0	6	0	3	2,8	3	6,6	9,8	3	43,2
Mezynska	Lena	4	4	4	6	6	2	80	75	57	43	92	4	0	6	10	10	0	8	7,5	5,7	4,3	9,2	4,5	64,7
Kaminska	Monika	2	4	5	2	5	2	26	69	46	57	91	2	0	8	0	8	0	2,6	6,9	4,6	5,7	9,1	3,5	46,9
Edel	Vanessa	4	3	5	5	3	3	5	44	37	5	62	4	0	8	8	4	4	0,5	4,4	3,7	0,5	6,2	4	43,3
Gadomska	Pola	6	3	5	5	2	6	56	90	35	68	48	6	0	8	8	0	10	5,6	9	3,5	6,8	4,8	4,5	61,7
Bieniasz	Zuzanna	4	3	6	2	3	3	7	15	62	9	43	4	0	10	0	4	4	0,7	1,5	6,2	0,9	4,3	3,5	35,6
Kozlowski	Mateusz	3	6	6	6	4	5	27	73	63	14	72	3	2	10	10	6	8	2,7	7,3	6,3	1,4	7,2	5,25	63,9
Karewicz	Michal	1	6	5	2	2	3	70	59	15	13	66	1	2	8	0	0	4	7	5,9	1,5	1,3	6,6	3	37,3
Hinca	Olaf	5	3	5	3	5	3	52	65	48	58	48	5	0	8	4	8	4	5,2	6,5	4,8	5,8	4,8	4	56,1
Mielcarz	Lena	5	2	2	2	4	2	27	64	22	32	91	5	0	0	0	6	0	2,7	6,4	2,2	3,2	9,1	2,5	34,6
Zebrowski	Adam	1	3	3	2	5	2	84	92	92	81	68	1	0	4	0	8	0	8,4	9,2	9,2	8,1	6,8	3	54,7
Janik	Natalia	4	5	4	4	2	6	75	22	91	31	93	4	0	6	6	0	10	7,5	2,2	9,1	3,1	9,3	4	57,2
Radziun	Jakub	2	4	4	6	5	4	35	77	81	17	27	2	0	6	10	8	6	3,5	7,7	8,1	1,7	2,7	4,75	55,7
Stawirej	Hanna	7	5	4	3	3	2	2	88	61	2	49	7	0	6	4	4	0	0,2	8,8	6,1	0,2	4,9	3	41,2
Brankiewicz	Anna	7	6	5	3	3	3	71	55	33	97	73	7	2	8	4	4	4	7,1	5,5	3,3	9,7	7,3	3,5	61,9
Wojniusz	Aleksander	5	5	6	4	5	5	53	97	28	88	87	5	0	10	6	8	8	5,3	9,7	2,8	8,8	8,7	5	72,3
Borowiec	Tymon	0	5	5	3	4	4	73	67	18	84	75	0	0	8	4	6	6	7,3	6,7	1,8	8,4	7,5	4	55,7
Kuszner	Maja	3	6	2	2	5	2	97	40	41	46	59	3	2	0	0	8	0	9,7	4	4,1	4,6	5,9	2,75	41,3
Pawlowski	Jan	7	4	4	6	5	5	10	32	73	96	29	7	0	6	10	8	8	1	3,2	7,3	9,6	2,9	5	63
Boleski	Tymon	3	2	5	5	4	5	91	53	13	58	75	3	0	8	8	6	8	9,1	5,3	1,3	5,8	7,5	4,75	62
Gnie?zinska	Patrycja	5	4	6	5	2	3	21	48	45	1	51	5	0	10	8	0	4	2,1	4,8	4,5	0,1	5,1	4	43,6
Gazarkiewicz	Paulina	2	2	5	2	4	4	83	28	43	19	83	2	0	8	0	6	6	8,3	2,8	4,3	1,9	8,3	3,75	47,6
Gawinkowski	Pawel	2	4	4	3	3	6	97	80	54	78	43	2	0	6	4	4	10	9,7	8	5,4	7,8	4,3	4	61,2
Lendzion	Maja	2	5	2	3	5	2	26	31	88	98	45	2	0	0	4	8	0	2,6	3,1	8,8	9,8	4,5	3	42,8
Skrzek	Izabela	7	6	4	5	4	3	17	54	78	68	41	7	2	6	8	6	4	1,7	5,4	7,8	6,8	4,1	4	58,8
Reda	Jakub	0	2	5	3	6	6	5	93	4	59	71	0	0	8	4	10	10	0,5	9,3	0,4	5,9	7,1	5	55,2
Krolikowska	Malgorzata	3	5	3	3	6	4	78	80	56	31	81	3	0	4	4	10	6	7,8	8	5,6	3,1	8,1	4	59,6
Szydlowski	Daniel	6	6	6	4	6	4	64	18	23	81	18	6	2	10	6	10	6	6,4	1,8	2,3	8,1	1,8	5	60,4
Sawicka	Julia	2	4	3	5	2	3	96	32	73	7	74	2	0	4	8	0	4	9,6	3,2	7,3	0,7	7,4	3,25	46,2
Jakubiak	Natalia	6	6	5	5	3	6	85	35	70	99	85	6	2	8	8	4	10	8,5	3,5	7	9,9	8,5	4,75	75,4
Maciejewski	Maciej	4	2	4	5	4	2	17	17	92	6	64	4	0	6	8	6	0	1,7	1,7	9,2	0,6	6,4	3,75	43,6
Kachniarz	Mikolaj	4	2	4	2	5	4	62	3	84	48	94	4	0	6	0	8	6	6,2	0,3	8,4	4,8	9,4	3,75	53,1
Pluzinska	Kaja	4	5	5	6	2	3	35	49	59	44	68	4	0	8	10	0	4	3,5	4,9	5,9	4,4	6,8	4	51,5
Domachowska	Weronika	7	3	6	2	6	5	20	58	93	53	35	7	0	10	0	10	8	2	5,8	9,3	5,3	3,5	4,75	60,9
Skrodzki	Gabriel	5	6	2	3	4	3	2	97	14	81	38	5	2	0	4	6	4	0,2	9,7	1,4	8,1	3,8	3	44,2
Skoropinski	Gabriel	4	6	2	6	4	5	98	42	49	83	32	4	2	0	10	6	8	9,8	4,2	4,9	8,3	3,2	4,25	60,4
Zak	Agata	7	5	5	4	5	6	97	45	42	25	51	7	0	8	6	8	10	9,7	4,5	4,2	2,5	5,1	5	65
Hildebrandt	Nikola	8	3	2	2	4	2	54	48	35	28	35	8	0	0	0	6	0	5,4	4,8	3,5	2,8	3,5	2,5	34
Papciak	Jaroslaw	5	2	6	3	2	5	35	56	6	84	54	5	0	10	4	0	8	3,5	5,6	0,6	8,4	5,4	4	50,5
Malanowski	Lukasz	0	2	5	6	6	3	36	94	52	50	57	0	0	8	10	10	4	3,6	9,4	5,2	5	5,7	5	60,9
Osojca	Kinga	2	3	2	2	5	6	100	48	88	48	8	2	0	0	0	8	10	10	4,8	8,8	4,8	0,8	3,75	49,2
Szulfer	Daria	1	3	4	3	5	6	89	70	58	39	43	1	0	6	4	8	10	8,9	7	5,8	3,9	4,3	4,5	58,9
Konieczka	Marta	0	6	2	2	6	2	21	80	59	35	12	0	2	0	0	10	0	2,1	8	5,9	3,5	1,2	3	32,7
Komasinska	Marta	1	3	2	5	4	4	38	5	69	94	25	1	0	0	8	6	6	3,8	0,5	6,9	9,4	2,5	3,75	44,1
Gajdecka	Paulina	8	4	5	4	5	3	24	47	99	64	11	8	0	8	6	8	4	2,4	4,7	9,9	6,4	1,1	4,25	58,5
Galikowska	Paulina	3	5	2	4	5	4	48	100	7	64	74	3	0	0	6	8	6	4,8	10	0,7	6,4	7,4	3,75	52,3
Piotrowski	Jan	8	3	5	2	4	6	46	88	1	49	84	8	0	8	0	6	10	4,6	8,8	0,1	4,9	8,4	4,25	58,8
Przestrzelski	Jakub	3	5	4	4	6	4	77	80	44	96	10	3	0	6	6	10	6	7,7	8	4,4	9,6	1	4,5	61,7
Schmidtke	Joanna	8	3	5	3	5	3	28	5	29	7	19	8	0	8	4	8	4	2,8	0,5	2,9	0,7	1,9	4	40,8
Romanowska	Julia	0	5	5	4	5	5	100	100	68	69	46	0	0	8	6	8	8	10	10	6,8	6,9	4,6	4,75	68,3
Smoliniec	Iwa	0	6	6	3	4	3	86	20	40	37	24	0	2	10	4	6	4	8,6	2	4	3,7	2,4	4	46,7
Kukulski	Mateusz	8	2	4	3	2	4	37	45	53	100	63	8	0	6	4	0	6	3,7	4,5	5,3	10	6,3	3,25	53,8
Wakuluk	Angelika	5	2	4	5	2	4	63	100	26	46	85	5	0	6	8	0	6	6,3	10	2,6	4,6	8,5	3,75	57
Wabiszewska	Aniela	3	3	3	6	3	2	62	92	75	30	86	3	0	4	10	4	0	6,2	9,2	7,5	3	8,6	3,5	55,5
Bialowss	Wiktor	6	4	2	4	4	6	16	19	66	96	61	6	0	0	6	6	10	1,6	1,9	6,6	9,6	6,1	4	53,8
Laskowski	Jacek	4	5	4	4	2	2	71	99	56	2	43	4	0	6	6	0	0	7,1	9,9	5,6	0,2	4,3	3	43,1
Gondek	Oliwia	8	2	6	2	6	5	62	49	45	42	53	8	0	10	0	10	8	6,2	4,9	4,5	4,2	5,3	4,75	61,1
G?ski	Oskar	2	3	2	5	5	2	44	30	61	13	30	2	0	0	8	8	0	4,4	3	6,1	1,3	3	3,5	35,8
Szlage	Dominik	5	6	5	3	2	4	55	18	46	82	71	5	2	8	4	0	6	5,5	1,8	4,6	8,2	7,1	3,5	52,2
Stiewa	Gabriela	5	2	5	6	3	3	23	10	99	23	4	5	0	8	10	4	4	2,3	1	9,9	2,3	0,4	4,25	46,9
Janiszewska	Natalia	5	4	3	5	6	2	72	22	90	8	61	5	0	4	8	10	0	7,2	2,2	9	0,8	6,1	4	52,3
